;index;codigoPalamentar;NomeParlamentar;NomeCompletoParlamentar
0;0;4981;Acir Gurgacz;Acir Marcos Gurgacz
1;1;5982;Alessandro Vieira;Alessandro Vieira
2;2;4610;Alexandre Silveira;Alexandre Silveira de Oliveira
3;3;945;Alvaro Dias;Alvaro Fernandes Dias
4;4;5967;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins
5;5;6295;Carlos Fávaro;Carlos Henrique Baqueta Fávaro
6;6;5936;Carlos Portinho;Carlos Francisco Portinho
7;7;5990;Carlos Viana;Carlos Alberto Dias Viana
8;8;470;Chico Rodrigues;Francisco de Assis Rodrigues
9;9;5973;Cid Gomes;Cid Ferreira Gomes
10;10;475;Confúcio Moura;Confúcio Aires Moura
11;11;5998;Daniella Ribeiro;Daniella Velloso Borges Ribeiro
12;12;3830;Davi Alcolumbre;David Samuel Alcolumbre Tobelem
13;13;5537;Dário Berger;Dário Elias Berger
14;14;4994;Eduardo Braga;Carlos Eduardo de Souza Braga
15;15;5976;Eduardo Girão;Luis Eduardo Grangeiro Girão
16;16;3777;Eduardo Gomes;Carlos Eduardo Torres Gomes
17;17;5898;Eliane Nogueira;Eliane e Silva Nogueira Lima
18;18;5718;Eliziane Gama;Eliziane Pereira Gama Melo
19;19;5531;Elmano Férrer;Elmano Férrer de Almeida
20;20;22;Esperidião Amin;Esperidião Amin Helou Filho
21;21;5953;Fabiano Contarato;Fabiano Contarato
22;22;5740;Fabio Garcia;Fabio Paulino Garcia
23;23;5540;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho
24;24;4525;Fernando Collor;Fernando Affonso Collor de Mello
25;25;345;Flávio Arns;Flávio José Arns
26;26;5894;Flávio Bolsonaro;Flávio Nantes Bolsonaro
27;27;6008;Giordano;Alexandre Luiz Giordano
28;28;5008;Humberto Costa;Humberto Sérgio Costa Lima
29;29;5385;Irajá;Irajá Silvestre Filho
30;30;4770;Izalci Lucas;Izalci Lucas Ferreira
31;31;35;Jader Barbalho;Jader Fontenelle Barbalho
32;32;581;Jaques Wagner;Jaques Wagner
33;33;4545;Jarbas Vasconcelos;Jarbas de Andrade Vasconcelos
34;34;5627;Jean Paul Prates;Jean Paul Terra Prates
35;35;5895;Jorge Kajuru;Jorge Kajuru Reis da Costa Nasser
36;36;5350;Jorginho Mello;Jorginho dos Santos Mello
37;37;90;José Serra;José Serra
38;38;1249;Kátia Abreu;Kátia Regina de Abreu
39;39;5533;Lasier Martins;Lasier Costa Martins
40;40;5979;Leila Barros;Leila Gomes de Barros Rêgo
41;41;5926;Lucas Barreto;Luiz Cantuária Barreto
42;42;1186;Luis Carlos Heinze;Luis Carlos Heinze
43;43;5585;Luiz Carlos do Carmo;Luiz Carlos do Carmo
44;44;5557;Mailza Gomes;Mailza Assis da Silva
45;45;5376;Mara Gabrilli;Mara Cristina Gabrilli
46;46;742;Marcelo Castro;Marcelo Costa e Castro
47;47;285;Marcio Bittar;Márcio Miguel Bittar
48;48;5422;Marcos Rogério;Marcos Rogério da Silva Brito
49;49;5942;Marcos do Val;Marcos Ribeiro do Val
50;50;1023;Maria do Carmo Alves;Maria do Carmo do Nascimento Alves
51;51;6027;Mecias de Jesus;Antônio Mecias Pereira de Jesus
52;52;5985;Nelsinho Trad;Nelson Trad Filho
53;53;5281;Nilda Gondim;Ozanilda Gondim Vital do Rego
54;54;5525;Omar Aziz;Omar José Abdel Aziz
55;55;5924;Oriovisto Guimarães;Oriovisto Guimaraes
56;56;5523;Otto Alencar;Otto Roberto Mendonça de Alencar
57;57;825;Paulo Paim;Paulo Renato Paim
58;58;374;Paulo Rocha;Paulo Roberto Galvão da Rocha
59;59;5502;Plínio Valério;Francisco Plínio Valério Tomaz
60;60;5012;Randolfe Rodrigues;Randolph Frederich Rodrigues Alves
61;61;5236;Reguffe;José Antônio Machado Reguffe
62;62;70;Renan Calheiros;José Renan Vasconcelos Calheiros
63;63;677;Roberto Rocha;Roberto Coelho Rocha
64;64;5905;Rodrigo Cunha;Rodrigo Santos Cunha
65;65;5732;Rodrigo Pacheco;Rodrigo Otavio Soares Pacheco
66;66;5352;Rogério Carvalho;Rogério Carvalho Santos
67;67;5322;Romário;Romario de Souza Faria
68;68;2331;Rose de Freitas;Rosilda de Freitas
69;69;5527;Simone Tebet;Simone Nassar Tebet
70;70;5988;Soraya Thronicke;Soraya Vieira Thronicke
71;71;5959;Styvenson Valentim;Eann Styvenson Valentim Mendes
72;72;4560;Sérgio Petecão;Sérgio de Oliveira Cunha
73;73;3396;Tasso Jereissati;Tasso Ribeiro Jereissati
74;74;5535;Telmário Mota;Telmário Mota de Oliveira
75;75;5899;Vanderlan Cardoso;Vanderlan Vieira Cardoso
76;76;5748;Veneziano Vital do Rêgo;Veneziano Vital do Rêgo Segundo Neto
77;77;1173;Wellington Fagundes;Wellington Antonio Fagundes
78;78;5411;Weverton;Weverton Rocha Marques de Sousa
79;79;5783;Zenaide Maia;Zenaide Maia Calado Pereira dos Santos
80;80;3806;Zequinha Marinho;José da Cruz Marinho
